Date;High
01/07/22;20632.67188
02/07/22;19371.74805
03/07/22;19558.26953
04/07/22;20258.74805
05/07/22;20635.4668
06/07/22;20595.5293
07/07/22;21771.81641
08/07/22;22314.94141
09/07/22;21877.13867
10/07/22;21591.08008
11/07/22;20856.35352
12/07/22;20043.44531
13/07/22;20223.05273
14/07/22;20789.89453
15/07/22;21138.24414
16/07/22;21514.4043
17/07/22;21600.64063
18/07/22;22633.0332
19/07/22;23666.96289
20/07/22;24196.81836
21/07/22;23388.32227
22/07/22;23671.92773
23/07/22;22977.21094
24/07/22;22974.00195
25/07/22;22649.12109
26/07/22;21361.12109
27/07/22;22986.5293
28/07/22;24110.4707
29/07/22;24294.78711
30/07/22;24572.58008
31/07/22;24121.64258
01/08/22;23464.78711
02/08/22;23415.04102
03/08/22;23578.65039
04/08/22;23198.00977
05/08/22;23422.82813
06/08/22;23326.5625
07/08/22;23359.00977
08/08/22;24203.68945
09/08/22;23898.61523
10/08/22;24127.41406
11/08/22;24822.62891
12/08/22;24412.56641
13/08/22;24860.05078
14/08/22;24974.91406
15/08/22;25135.58984
16/08/22;24228.41602
17/08/22;24407.05859
18/08/22;23563.83203
19/08/22;23213.3125
20/08/22;21350.80664
21/08/22;21668.8457
22/08/22;21531.46289
23/08/22;21646.20313
24/08/22;21783.07617
25/08/22;21789.63672
26/08/22;21804.9082
27/08/22;20340.77539
28/08/22;20139.05469
29/08/22;20357.46289
30/08/22;20542.64453
31/08/22;20420.99023
01/09/22;20198.39063
02/09/22;20401.56836
03/09/22;20037.00977
04/09/22;19999.68945
05/09/22;20031.16016
06/09/22;20155.26953
07/09/22;19427.17188
08/09/22;19417.35156
09/09/22;21439.41016
10/09/22;21760.27539
11/09/22;21770.55273
12/09/22;22439.18164
13/09/22;22673.82031
14/09/22;20467.20117
15/09/22;20318.16602
16/09/22;19870.62891
17/09/22;20162.53125
18/09/22;20127.23438
19/09/22;19639.48047
20/09/22;19602.45703
21/09/22;19674.63086
22/09/22;19456.91016
23/09/22;19464.67188
24/09/22;19310.19727
25/09/22;19134.73242
26/09/22;19274.87305
27/09/22;20338.45508
28/09/22;19688.34375
29/09/22;19589.26563
30/09/22;20109.84961
01/10/22;19471.1543
02/10/22;19370.30859
03/10/22;19653.54297
04/10/22;20380.34375
05/10/22;20343.74805
06/10/22;20408.39258
07/10/22;20041.08594
08/10/22;19601.69531
09/10/22;19542.53906
10/10/22;19515.4668
11/10/22;19241.96094
12/10/22;19203.19922
13/10/22;19453.32813
14/10/22;19889.14648
15/10/22;19212.54102
16/10/22;19389.60352
17/10/22;19635.80273
18/10/22;19666.99414
19/10/22;19348.41602
20/10/22;19315.19922
21/10/22;19237.38477
22/10/22;19248.06836
23/10/22;19646.65234
24/10/22;19589.125
25/10/22;20348.41211
26/10/22;20938.13477
27/10/22;20854.04492
28/10/22;20724.98047
29/10/22;20988.39453
30/10/22;20917.00586
31/10/22;20795.32031
01/11/22;20647.28906
02/11/22;20742.81055
03/11/22;20382.0957
04/11/22;21209.56055
05/11/22;21446.88672
06/11/22;21345.37695
07/11/22;21053.24609
08/11/22;20664.60742
09/11/22;18590.45898
10/11/22;18054.3125
11/11/22;17650.94336
12/11/22;17066.67578
13/11/22;16920.76563
14/11/22;17109.32422
15/11/22;17051.96289
16/11/22;16960.29492
17/11/22;16726.43945
18/11/22;16947.05859
19/11/22;16797.87695
20/11/22;16746.7793
21/11/22;16291.22363
22/11/22;16253.04785
23/11/22;16638.19336
24/11/22;16771.47461
25/11/22;16603.31641
26/11/22;16666.86328
27/11/22;16594.40625
28/11/22;16482.93359
29/11/22;16522.25781
30/11/22;17190.9375
01/12/22;17197.49805
02/12/22;17088.66016
03/12/22;17116.04102
04/12/22;17157.76758
05/12/22;17378.15234
06/12/22;17091.86328
07/12/22;17109.37695
08/12/22;17267.91602
09/12/22;17280.54688
10/12/22;17216.82617
11/12/22;17245.63477
12/12/22;17212.56445
13/12/22;17930.08594
14/12/22;18318.53125
15/12/22;17846.74414
16/12/22;17505.52539
17/12/22;16800.58984
18/12/22;16815.38672
19/12/22;16807.52734
20/12/22;17012.98438
21/12/22;16916.80078
22/12/22;16866.67383
23/12/22;16905.21875
24/12/22;16864.70313
25/12/22;16860.55469
26/12/22;16920.12305
27/12/22;16959.8457
28/12/22;16768.16992
29/12/22;16651.75586
30/12/22;16643.42773
31/12/22;16628.98633
01/01/23;16630.43945
02/01/23;16759.34375
03/01/23;16760.44727
04/01/23;16964.58594
05/01/23;16884.02148
06/01/23;16991.99414
07/01/23;16975.01758
08/01/23;17091.14453
09/01/23;17389.95703
10/01/23;17484.7207
11/01/23;17934.89648
12/01/23;19030.08789
13/01/23;19964.32227
14/01/23;21075.14258
15/01/23;20993.74805
16/01/23;21360.875
17/01/23;21438.66016
18/01/23;21564.50195
19/01/23;21163.01172
20/01/23;22692.35742
21/01/23;23282.34766
22/01/23;23056.73047
23/01/23;23126.48633
24/01/23;23134.01172
25/01/23;23722.09961
26/01/23;23237.07813
27/01/23;23417.7207
28/01/23;23165.89648
29/01/23;23919.89063
30/01/23;23789.34766
31/01/23;23225.02148
01/02/23;23764.53906
02/02/23;24167.21094
03/02/23;23678.10352
04/02/23;23556.94922
05/02/23;23423.43555
06/02/23;23119.2793
07/02/23;23310.97461
08/02/23;23367.95898
09/02/23;22996.4375
10/02/23;21941.18555
11/02/23;21891.41016
12/02/23;22060.99414
13/02/23;21898.41406
14/02/23;22293.14063
15/02/23;24307.8418
16/02/23;25134.11719
17/02/23;24924.04102
18/02/23;24798.83594
19/02/23;25093.05469
20/02/23;25020.45898
21/02/23;25126.85156
22/02/23;24472.33984
23/02/23;24572.08984
24/02/23;24103.70508
25/02/23;23210.21094
26/02/23;23654.36719
27/02/23;23857.89063
28/02/23;23585.38477
01/03/23;23880.63281
02/03/23;23739.13867
03/03/23;23479.34766
04/03/23;22405.17773
05/03/23;22613.68555
06/03/23;22584.29297
07/03/23;22527.41797
08/03/23;22268.89648
09/03/23;21802.7168
10/03/23;20370.5957
11/03/23;20792.52539
12/03/23;22185.03125
13/03/23;24550.83789
14/03/23;26514.7168
15/03/23;25240.61523
16/03/23;25190.32617
17/03/23;27787.8125
18/03/23;27725.95313
19/03/23;28440.56055
20/03/23;28527.72461
21/03/23;28439.5625
22/03/23;28803.33594
23/03/23;28729.84375
24/03/23;28388.4375
25/03/23;27791.82617
26/03/23;28178.14453
27/03/23;28037.92578
28/03/23;27460.71875
29/03/23;28619.54297
30/03/23;29159.90234
31/03/23;28639.89648
01/04/23;28802.45703
02/04/23;28518.95898
03/04/23;28475.62305
04/04/23;28433.74219
05/04/23;28739.23828
06/04/23;28178.38477
07/04/23;28111.59375
08/04/23;28159.86328
09/04/23;28532.83008
10/04/23;29771.46484
11/04/23;30509.08398
12/04/23;30462.48047
13/04/23;30539.8457
14/04/23;31005.60742
15/04/23;30601.74023
16/04/23;30555.53711
17/04/23;30319.19727
18/04/23;30470.30273
19/04/23;30411.05469
20/04/23;29076.40039
21/04/23;28349.96875
22/04/23;27872.14258
23/04/23;27820.24414
24/04/23;27979.98242
25/04/23;28371.07813
26/04/23;29995.83789
27/04/23;29871.54688
28/04/23;29572.79102
29/04/23;29452.45508
30/04/23;29952.0293
01/05/23;29329.93555
02/05/23;28881.29883
03/05/23;29259.5332
04/05/23;29353.18555
05/05/23;29668.9082
06/05/23;29820.12695
07/05/23;29157.51758
08/05/23;28663.27148
09/05/23;27821.40039
10/05/23;28322.6875
11/05/23;27621.94141
12/05/23;27055.64648
13/05/23;27030.48242
14/05/23;27150.97656
15/05/23;27646.34766
16/05/23;27299.30469
17/05/23;27465.92773
18/05/23;27466.52734
19/05/23;27128.61914
20/05/23;27155.1582
21/05/23;27265.91797
22/05/23;27045.73438
23/05/23;27434.68359
24/05/23;27224.60352
25/05/23;26591.51953
26/05/23;26916.66992
27/05/23;26888.88281
28/05/23;28193.44922
29/05/23;28432.03906
30/05/23;28044.75977
31/05/23;27831.67773
01/06/23;27346.10547
02/06/23;27303.86133
03/06/23;27317.05273
04/06/23;27407.01953
05/06/23;27129.98242
06/06/23;27313.82031
07/06/23;27332.18164
08/06/23;26797.51367
09/06/23;26770.28906
10/06/23;26531.04492
11/06/23;26203.43945
12/06/23;26087.91992
13/06/23;26376.35156
14/06/23;26041.80078
15/06/23;25735.30859
16/06/23;26463.17383
17/06/23;26769.39453
18/06/23;26675.92578
19/06/23;26984.61133
20/06/23;28388.96875
21/06/23;30737.33008
22/06/23;30495.99805
23/06/23;31389.53906
24/06/23;30804.14844
25/06/23;31041.27148
26/06/23;30636.0293
27/06/23;31006.78711
28/06/23;30703.2793
29/06/23;30796.25
30/06/23;31256.86328
01/07/23;30641.28906